County,Year,Month,Total
Alamance,2024,1,453394
Alamance,2024,2,455407
Alamance,2024,3,568740
Alamance,2024,4,454302
Alamance,2024,5,453574
Alamance,2024,6,573806
Alamance,2024,7,460385
Alamance,2024,8,230451
Alexander,2024,1,100620
Alexander,2024,2,100865
Alexander,2024,3,125952
Alexander,2024,4,100540
Alexander,2024,5,100435
Alexander,2024,6,126715
Alexander,2024,7,101287
Alexander,2024,8,50709
Alleghany,2024,1,31742
Alleghany,2024,2,31862
Alleghany,2024,3,39898
Alleghany,2024,4,31993
Alleghany,2024,5,31964
Alleghany,2024,6,40278
Alleghany,2024,7,32286
Alleghany,2024,8,16184
Anson,2024,1,64811
Anson,2024,2,64818
Anson,2024,3,80454
Anson,2024,4,64244
Anson,2024,5,64166
Anson,2024,6,81040
Anson,2024,7,65151
Anson,2024,8,32775
Ashe,2024,1,80779
Ashe,2024,2,81023
Ashe,2024,3,101252
Ashe,2024,4,80841
Ashe,2024,5,80728
Ashe,2024,6,102051
Ashe,2024,7,81651
Ashe,2024,8,40871
Avery,2024,1,51118
Avery,2024,2,51299
Avery,2024,3,64133
Avery,2024,4,51306
Avery,2024,5,51301
Avery,2024,6,64639
Avery,2024,7,52092
Avery,2024,8,26111
Beaufort,2024,1,136783
Beaufort,2024,2,137147
Beaufort,2024,3,171160
Beaufort,2024,4,136690
Beaufort,2024,5,136984
Beaufort,2024,6,172368
Beaufort,2024,7,137895
Beaufort,2024,8,68987
Bertie,2024,1,50506
Bertie,2024,2,50590
Bertie,2024,3,63210
Bertie,2024,4,50388
Bertie,2024,5,50323
Bertie,2024,6,63171
Bertie,2024,7,50604
Bertie,2024,8,25325
Bladen,2024,1,90264
Bladen,2024,2,90446
Bladen,2024,3,112846
Bladen,2024,4,89816
Bladen,2024,5,89635
Bladen,2024,6,113285
Bladen,2024,7,91166
Bladen,2024,8,46099
Brunswick,2024,1,525251
Brunswick,2024,2,528139
Brunswick,2024,3,659349
Brunswick,2024,4,526801
Brunswick,2024,5,526127
Brunswick,2024,6,670663
Brunswick,2024,7,541845
Brunswick,2024,8,272025
Buncombe,2024,1,832731
Buncombe,2024,2,834667
Buncombe,2024,3,1042882
Buncombe,2024,4,833100
Buncombe,2024,5,835941
Buncombe,2024,6,1054823
Buncombe,2024,7,847209
Buncombe,2024,8,424236
Burke,2024,1,235227
Burke,2024,2,236045
Burke,2024,3,294834
Burke,2024,4,235362
Burke,2024,5,235248
Burke,2024,6,296766
Burke,2024,7,237796
Burke,2024,8,119162
Cabarrus,2024,1,620174
Cabarrus,2024,2,622555
Cabarrus,2024,3,777438
Cabarrus,2024,4,621355
Cabarrus,2024,5,620691
Cabarrus,2024,6,780910
Cabarrus,2024,7,630126
Cabarrus,2024,8,315775
Caldwell,2024,1,215193
Caldwell,2024,2,215720
Caldwell,2024,3,269496
Caldwell,2024,4,215383
Caldwell,2024,5,214954
Caldwell,2024,6,270733
Caldwell,2024,7,217402
Caldwell,2024,8,108898
Camden,2024,1,34060
Camden,2024,2,34144
Camden,2024,3,42641
Camden,2024,4,34076
Camden,2024,5,34022
Camden,2024,6,42854
Camden,2024,7,34422
Camden,2024,8,17252
Carteret,2024,1,226280
Carteret,2024,2,226881
Carteret,2024,3,283355
Carteret,2024,4,226398
Carteret,2024,5,226123
Carteret,2024,6,285641
Carteret,2024,7,229380
Carteret,2024,8,114939
Caswell,2024,1,60820
Caswell,2024,2,60972
Caswell,2024,3,76222
Caswell,2024,4,60912
Caswell,2024,5,60897
Caswell,2024,6,76932
Caswell,2024,7,61630
Caswell,2024,8,30842
Catawba,2024,1,447110
Catawba,2024,2,448522
Catawba,2024,3,559810
Catawba,2024,4,447241
Catawba,2024,5,446827
Catawba,2024,6,566555
Catawba,2024,7,455367
Catawba,2024,8,228288
Chatham,2024,1,242994
Chatham,2024,2,243686
Chatham,2024,3,304269
Chatham,2024,4,243055
Chatham,2024,5,243101
Chatham,2024,6,307729
Chatham,2024,7,247061
Chatham,2024,8,123957
Cherokee,2024,1,93148
Cherokee,2024,2,93519
Cherokee,2024,3,116734
Cherokee,2024,4,93301
Cherokee,2024,5,93161
Cherokee,2024,6,119026
Cherokee,2024,7,95587
Cherokee,2024,8,47874
Chowan,2024,1,41518
Chowan,2024,2,41566
Chowan,2024,3,51868
Chowan,2024,4,41610
Chowan,2024,5,41629
Chowan,2024,6,52150
Chowan,2024,7,41822
Chowan,2024,8,20926
Clay,2024,1,39320
Clay,2024,2,39454
Clay,2024,3,49255
Clay,2024,4,39365
Clay,2024,5,39323
Clay,2024,6,49836
Clay,2024,7,40102
Clay,2024,8,20144
Cleveland,2024,1,270715
Cleveland,2024,2,271611
Cleveland,2024,3,339176
Cleveland,2024,4,271174
Cleveland,2024,5,270848
Cleveland,2024,6,342808
Cleveland,2024,7,274696
Cleveland,2024,8,137752
Columbus,2024,1,145692
Columbus,2024,2,146037
Columbus,2024,3,182413
Columbus,2024,4,145312
Columbus,2024,5,145094
Columbus,2024,6,184235
Columbus,2024,7,147989
Columbus,2024,8,74204
Craven,2024,1,304618
Craven,2024,2,305809
Craven,2024,3,381994
Craven,2024,4,305153
Craven,2024,5,305019
Craven,2024,6,384773
Craven,2024,7,309251
Craven,2024,8,155207
